name,importance,reason,source_url,image_url,gender,species,hair_color,hair_style,hair_length,eye_style,eye_size,face_shape,expression,skin_tone,beard,body_type,age_vibe,cute_level,cool_level,dark_level,funny_level,power_level,hero_level,evil_level,energy_level,confidence_level,match_tags,match_note
Charlotte Brûlée,7,important supporting character,https://onepiece.fandom.com/wiki/Charlotte_Br%C3%BBl%C3%A9e,https://static.wikia.nocookie.net/onepiece/images/d/d9/Charlotte_Br%C3%BBl%C3%A9e_Anime_Infobox.png/revision/latest?cb=20170611174235,female,human,purple,long,very long,wide,large,oval,frightened,light,none,slim,young,4,3,7,2,6,1,8,5,4,"anime,female,character,frightened",무서운 느낌의 캐릭터입니다.
Charlotte Chiboust,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Chiboust,https://static.wikia.nocookie.net/onepiece/images/6/65/Charlotte_Chiboust_Anime_Infobox.png/revision/latest?cb=20190120111957,male,human,blue,spiky,short,narrow,medium,round,serious,light,none,large,adult,2,5,1,3,7,4,2,6,5,"anime, character, serious, large",강력한 느낌의 캐릭터입니다.
Charlotte Chiffon,7,important supporting character,https://onepiece.fandom.com/wiki/Charlotte_Chiffon,https://static.wikia.nocookie.net/onepiece/images/6/6d/Charlotte_Chiffon_Anime_Infobox.png/revision/latest?cb=20170409062554,female,human,pink,pigtails,medium,round,large,oval,grinning,light,none,large,adult,3,2,1,8,4,1,2,7,6,"anime, character, funny, exaggerated",재미있는 캐릭터입니다.
Charlotte Citron,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Citron,https://static.wikia.nocookie.net/onepiece/images/5/5b/Charlotte_Citron_Anime_Infobox.png/revision/latest?cb=20190203104804,female,human,orange,wavy,long,simple,medium,round,confident,light,none,curvy,adult,5,4,1,3,6,2,1,7,8,"anime, confident, curvy, colorful",매우 자신감 넘치는 모습입니다.
Charlotte Compote,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Compote,https://static.wikia.nocookie.net/onepiece/images/a/a5/Charlotte_Compote_Anime_Infobox.png/revision/latest?cb=20230702183151,female,human,green,wavy,long,round,large,round,happy,light,none,large,middle-aged,5,2,1,7,6,3,2,8,7,"anime,female,green hair,large body,happy",재미있고 활기찬 느낌입니다.
Charlotte Cornstarch,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Cornstarch,https://static.wikia.nocookie.net/onepiece/images/c/c7/Charlotte_Cornstarch_Anime_Infobox.png/revision/latest?cb=20181021143336,female,human,orange,curly,medium,sharp,small,angular,angry,light,none,average,adult,2,3,1,4,5,2,6,7,8,"anime, character, angry, unique",독특한 외모의 캐릭터입니다.
Charlotte Custard,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Custard,https://static.wikia.nocookie.net/onepiece/images/d/da/Charlotte_Custard_Anime_Infobox.png/revision/latest?cb=20181118084826,female,human,purple,short,medium,sharp,medium,oval,serious,light,none,slim,young,5,7,2,1,8,6,1,7,8,"royalty, warrior, confident",강력한 왕족의 느낌입니다.
Charlotte Daifuku,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Daifuku,https://static.wikia.nocookie.net/onepiece/images/c/cd/Charlotte_Daifuku_Anime_Infobox.png/revision/latest?cb=20230215154338,male,human,blonde,short,short,round,medium,square,smiling,light,none,muscular,adult,3,6,1,5,7,4,2,8,9,"anime,muscular,smiling",재미있고 자신감 넘치는 모습입니다.
Charlotte Dolce,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Dolce_and_Drag%C3%A9e,https://static.wikia.nocookie.net/onepiece/images/0/06/Charlotte_Dolce_and_Drag%C3%A9e_Anime_Infobox.png/revision/latest?cb=20171015021417,male,human,brown,spiky,short,round,large,round,happy,light,none,chubby,childlike,8,2,1,7,1,1,1,6,5,"happy, chubby, playful",귀엽고 유쾌한 느낌입니다.
Charlotte High-Fat,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_High-Fat,https://static.wikia.nocookie.net/onepiece/images/8/8d/Charlotte_High-Fat_Anime_Infobox.png/revision/latest?cb=20180722081835,male,human,blonde,short,short,round,medium,round,confident,light,none,muscular,adult,2,7,3,4,8,5,2,6,9,"muscular,confident,warrior",강력한 전사 같은 느낌입니다.
Charlotte Linlin,10,main antagonist and iconic,https://onepiece.fandom.com/wiki/Charlotte_Linlin,https://static.wikia.nocookie.net/onepiece/images/d/d8/Charlotte_Linlin_Anime_Infobox.png/revision/latest?cb=20180423150804,female,human,pink,wavy,long,angry,large,round,angry,light,none,large,middle-aged,2,3,5,4,8,2,7,6,9,"anime,female,pink hair,angry",강력한 존재감이 느껴진다.
Charlotte Lola,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Lola,https://static.wikia.nocookie.net/onepiece/images/f/f0/Charlotte_Lola_Manga_Post_Timeskip_Infobox.png/revision/latest?cb=20201012081800,female,human,blonde,straight,long,round,large,round,joyful,light,none,average,young,7,2,1,8,3,2,1,9,6,"anime, joyful, funny, character",재미있는 캐릭터입니다.
Charlotte Mont-d'Or,7,important supporting character,https://onepiece.fandom.com/wiki/Charlotte_Mont-d%27Or,https://static.wikia.nocookie.net/onepiece/images/d/d4/Charlotte_Mont-d%27Or_Anime_Infobox.png/revision/latest?cb=20180325090436,male,human,blonde,curly,medium,sharp,medium,angular,serious,light,none,muscular,adult,2,7,3,4,8,5,2,6,7,"clown, skeleton, serious, anime",강렬한 인상을 주는 캐릭터입니다.
Charlotte Oven,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Oven,https://static.wikia.nocookie.net/onepiece/images/f/f0/Charlotte_Oven_Anime_Infobox.png/revision/latest?cb=20181028111159,male,human,red,flame,short,sharp,medium,angular,confident,light,none,muscular,adult,2,8,3,4,9,5,6,7,9,"muscular, confident, fiery, bold",강렬한 인상입니다.
Charlotte Perospero,8,major arc character,https://onepiece.fandom.com/wiki/Charlotte_Perospero,https://static.wikia.nocookie.net/onepiece/images/7/7e/Charlotte_Perospero_Anime_Infobox.png/revision/latest?cb=20211101122146,male,human,purple,curly,long,sharp,medium,long,smug,pale,none,slim,adult,2,6,7,5,8,1,9,7,8,"anime, villain, colorful, unique",독특한 악당의 느낌입니다.
Charlotte Smoothie,7,important member of the Big Mom Pirates,https://onepiece.fandom.com/wiki/Charlotte_Smoothie,https://static.wikia.nocookie.net/onepiece/images/c/c5/Charlotte_Smoothie_Anime_Infobox.png/revision/latest?cb=20180423150946,female,human,white,wavy,long,sharp,medium,oval,confident,light,none,tall,young adult,4,8,2,1,9,3,2,7,9,"warrior, elegant, strong, stylish",강력하고 우아한 느낌입니다.
Charlotte Snack,6,recognizable character in the Big Mom Pirates,https://onepiece.fandom.com/wiki/Charlotte_Snack,https://static.wikia.nocookie.net/onepiece/images/1/18/Charlotte_Snack_Anime_Infobox.png/revision/latest?cb=20190303110418,male,human,brown,spiky,short,angry,medium,square,angry,light,none,large,adult,2,5,3,4,8,3,6,7,9,"angry,large,spiky,human",강력한 느낌의 캐릭터입니다.
Crocodile,9,very major recurring antagonist,https://onepiece.fandom.com/wiki/Crocodile,https://static.wikia.nocookie.net/onepiece/images/f/fd/Crocodile_Anime_Infobox.png/revision/latest?cb=20230125235528,male,human,black,long,medium,normal,medium,angular,confident,light,none,muscular,adult,2,8,7,1,9,2,8,7,9,"crocodile, villain, pirate, strong",강력한 악당의 느낌입니다.
Curly Dadan,6,supporting but recognizable character,https://onepiece.fandom.com/wiki/Curly_Dadan,https://static.wikia.nocookie.net/onepiece/images/b/b4/Curly_Dadan_Anime_Infobox.png/revision/latest?cb=20160802231340,female,human,orange,curly,medium,round,large,round,angry,light,none,heavyset,adult,2,3,1,4,7,2,1,6,8,"curly, angry, heavyset, orange hair",강한 인상을 주는 캐릭터입니다.
Dalton,7,important supporting character,https://onepiece.fandom.com/wiki/Dalton,https://static.wikia.nocookie.net/onepiece/images/0/07/Dalton_Anime_Infobox.png/revision/latest?cb=20230101225126,male,human,black,short,short,sharp,medium,square,confident,light,goatee,muscular,adult,2,8,3,1,9,6,2,7,9,"muscular, confident, goatee, sharp eyes",강력한 느낌의 캐릭터입니다.
Daz Bonez,6,supporting but recognizable character,https://onepiece.fandom.com/wiki/Daz_Bonez,https://static.wikia.nocookie.net/onepiece/images/e/e9/Daz_Bonez_Anime_Infobox.png/revision/latest?cb=20221102004113,male,human,white,short,short,narrow,medium,square,serious,light,none,muscular,adult,2,8,5,1,9,3,4,7,9,"muscular, serious, fighter",강력한 전사 같은 느낌입니다.
Dellinger,6,supporting but recognizable character,https://onepiece.fandom.com/wiki/Dellinger,https://static.wikia.nocookie.net/onepiece/images/8/8b/Dellinger_Anime_Infobox.png/revision/latest?cb=20150415222442,male,human,blonde,messy,short,round,medium,oval,cheerful,light,none,slim,young,7,4,1,6,3,2,1,8,5,"anime, cheerful, playful, unique",재미있고 독특한 캐릭터입니다.
Denjiro,7,important supporting character,https://onepiece.fandom.com/wiki/Denjiro,https://static.wikia.nocookie.net/onepiece/images/7/7e/Denjiro_Anime_Infobox.png/revision/latest?cb=20210718045127,male,human,light blue,spiky,medium,narrow,medium,angular,confident,light,none,muscular,adult,2,8,3,1,7,6,2,8,9,"samurai, confident, stylish",강력한 전사 같은 느낌입니다.
Donquixote Mjosgard,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Donquixote_Mjosgard,https://static.wikia.nocookie.net/onepiece/images/0/0d/Donquixote_Mjosgard_Anime_Infobox.png/revision/latest?cb=20191215162804,male,human,green,unique,short,narrow,medium,angular,serious,light,light stubble,muscular,middle-aged,2,5,4,3,7,3,5,6,8,"serious, unique, muscular, green hair",강렬한 인상을 주는 캐릭터입니다.
Dracule Mihawk,9,very major recurring character,https://onepiece.fandom.com/wiki/Dracule_Mihawk,https://static.wikia.nocookie.net/onepiece/images/b/bf/Dracule_Mihawk_Anime_Infobox.png/revision/latest?cb=20151222105910,male,human,black,long,medium,sharp,medium,angular,confident,light,goatee,muscular,adult,2,9,7,1,10,4,6,8,10,"swordsman, dark, confident, powerful",강력한 전사 같은 느낌입니다.
Duval,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Duval,https://static.wikia.nocookie.net/onepiece/images/8/86/Duval_Anime_Infobox.png/revision/latest?cb=20230707025409,male,human,blonde,spiky,medium,sharp,medium,angular,smiling,light,none,muscular,young adult,3,8,2,5,7,4,3,9,8,"anime,muscular,smiling,blonde",매우 자신감 넘치는 모습입니다.
Edward Weevil,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Edward_Weevil,https://static.wikia.nocookie.net/onepiece/images/b/be/Edward_Weevil_Anime_Infobox.png/revision/latest?cb=20160807113654,male,human,blonde,braided,long,round,large,round,angry,light,none,muscular,adult,2,3,1,4,8,2,5,7,6,"anime,muscular,angry,blonde",강력한 캐릭터의 느낌입니다.
Elizabello II,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Elizabello_II,https://static.wikia.nocookie.net/onepiece/images/a/ae/Elizabello_II_Anime_Infobox.png/revision/latest?cb=20230926212430,male,human,blonde,long,medium,narrow,medium,square,angry,light,stubble,muscular,adult,2,7,1,3,9,6,2,8,9,"king, fighter, strong, determined",강력한 왕의 모습입니다.
Enel,8,major arc character,https://onepiece.fandom.com/wiki/Enel,https://static.wikia.nocookie.net/onepiece/images/a/ad/Enel_Anime_Infobox.png/revision/latest?cb=20230520213625,male,human,white,long,medium,sharp,medium,angular,smug,light,none,muscular,adult,2,8,6,1,9,2,7,8,9,"smug,muscular,light_skin",강력한 느낌의 캐릭터입니다.
Faust,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Faust,https://static.wikia.nocookie.net/onepiece/images/4/4f/Faust_Anime_Infobox.png/revision/latest?cb=20240911123613,male,cat,black,none,short,slit,medium,round,smug,dark,none,average,adult,7,5,6,4,5,2,4,6,7,"cat, smug, dark, magical",매우 자신감 있는 모습입니다.
Fossa,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Fossa,https://static.wikia.nocookie.net/onepiece/images/1/14/Fossa_Anime_Infobox.png/revision/latest?cb=20211009011318,male,human,black,spiky,short,sharp,medium,square,angry,tan,mustache,muscular,adult,2,8,5,3,9,6,4,7,9,"muscular,angry,sword",강력한 전사 같은 느낌입니다.
Fukaboshi,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Fukaboshi,https://static.wikia.nocookie.net/onepiece/images/2/29/Fukaboshi_Anime_Infobox.png/revision/latest?cb=20140107021229,male,human,blue,wavy,long,narrow,medium,square,angry,light,none,muscular,adult,2,8,3,1,9,7,2,8,9,"muscular,angry,blue hair",강력한 느낌의 캐릭터입니다.
Fukurou,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Fukurou,https://static.wikia.nocookie.net/onepiece/images/e/e0/Fukurou_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20240901020742,male,human,light green,slicked back,short,round,medium,round,smiling,light,none,chubby,adult,4,2,1,5,3,1,2,4,5,"anime, chubby, smiling, green hair",귀여운 느낌이 듭니다.
Gaimon,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Gaimon,https://static.wikia.nocookie.net/onepiece/images/b/b2/Gaimon_Anime_Infobox.png/revision/latest?cb=20221107181308,male,human,brown,short,short,round,medium,round,angry,light,full,stocky,adult,2,3,1,5,4,2,1,3,4,"anime, funny, stocky, angry",재미있는 캐릭터입니다.
Galdino,7,important supporting character,https://onepiece.fandom.com/wiki/Galdino,https://static.wikia.nocookie.net/onepiece/images/1/13/Galdino_Anime_Infobox.png/revision/latest?cb=20221003165116,male,human,black,spiky,short,round,medium,long,serious,light,none,slim,adult,2,5,3,4,6,2,3,5,7,"serious, stylish, unique",독특한 스타일의 캐릭터입니다.
Gan Fall,7,important supporting character,https://onepiece.fandom.com/wiki/Gan_Fall,https://static.wikia.nocookie.net/onepiece/images/5/5f/Gan_Fall_Anime_Infobox.png/revision/latest?cb=20221111195904,male,human,white,long,long,narrow,medium,angular,serious,light,long,tall,old,2,7,3,1,8,6,1,5,9,"knight, wise, strong, leader",강력한 리더의 느낌입니다.
Gatz,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Gatz,https://static.wikia.nocookie.net/onepiece/images/7/70/Gatz_Anime_Infobox.png/revision/latest?cb=20140916081427,male,human,brown,long,medium,narrow,medium,square,angry,tan,none,muscular,adult,2,7,5,3,9,6,4,8,9,"muscular, warrior, fierce",강력한 전사 같은 느낌입니다.
